Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,23.820000,24.709999,23.580000,24.280001,17.980806,740062700
2013-06-01,24.879999,25.980000,23.410000,24.230000,18.112810,870588100
2013-07-01,24.350000,24.430000,22.629999,23.340000,17.447512,1016381600
2013-08-01,23.410000,23.490000,21.889999,21.980000,16.430857,648993400
2013-09-01,22.209999,24.090000,21.969999,22.920000,17.301188,645551600
2013-10-01,22.940001,24.730000,22.480000,24.469999,18.471205,797993300
2013-11-01,24.510000,25.290001,23.500000,23.840000,17.995647,591599400
2013-12-01,24.000000,26.040001,23.400000,25.959999,19.779375,614535900
2014-01-01,25.780001,27.120001,24.400000,24.540001,18.697454,834053300
2014-02-01,24.500000,24.980000,23.500000,24.760000,18.865076,510845400
2014-03-01,24.549999,26.059999,24.299999,25.809999,19.852615,587134100
2014-04-01,25.799999,27.240000,25.639999,26.690001,20.529497,735615600
2014-05-01,26.510000,27.320000,25.740000,27.320000,21.014080,491940100
2014-06-01,27.309999,31.000000,27.120001,30.900000,23.971981,761349300
2014-07-01,30.990000,34.830002,30.440001,33.889999,26.291609,835570200
2014-08-01,33.750000,35.200001,32.389999,34.919998,27.090668,593322200
2014-09-01,34.759998,35.560001,33.630001,34.820000,27.192774,558097600
2014-10-01,34.610001,34.779999,29.650000,34.009998,26.560205,894696800
2014-11-01,33.810001,37.689999,33.000000,37.250000,29.090500,562628200
2014-12-01,37.209999,37.900002,35.330002,36.290001,28.526609,600051700
2015-01-01,36.669998,37.490002,33.000000,33.040001,25.971870,689892600
2015-02-01,33.060001,34.750000,32.610001,33.250000,26.136948,456578100
2015-03-01,33.290001,34.500000,29.309999,31.270000,24.756828,910690800
2015-04-01,31.129999,33.040001,30.450001,32.549999,25.770214,568144200
2015-05-01,32.630001,34.750000,31.930000,34.459999,27.282391,498672700
2015-06-01,34.369999,34.590000,30.150000,30.420000,24.258024,701953000
2015-07-01,30.490000,30.920000,27.620001,28.950001,23.085794,829691000
2015-08-01,29.000000,29.680000,24.870001,28.540001,22.758842,706404700
2015-09-01,27.910000,30.320000,27.660000,30.139999,24.234413,680884100
2015-10-01,30.209999,35.029999,29.459999,33.860001,27.225519,703298300
2015-11-01,33.730000,35.290001,31.930000,34.770000,27.957212,459871400
2015-12-01,35.000000,35.590000,33.820000,34.450001,27.895046,427664700
2016-01-01,33.880001,34.009998,29.209999,31.020000,25.117683,615464900
2016-02-01,30.719999,31.120001,27.680000,29.590000,23.959776,526508800
2016-03-01,29.930000,32.750000,29.750000,32.349998,26.425175,471958200
2016-04-01,32.270000,32.470001,30.100000,30.280001,24.734297,515836800
2016-05-01,30.450001,31.650000,29.500000,31.590000,25.804363,431523200
2016-06-01,31.620001,33.000000,30.440001,32.799999,27.024185,484891000
2016-07-01,32.639999,35.930000,32.380001,34.860001,28.721443,530528900
2016-08-01,34.820000,35.900002,33.990002,35.889999,29.570065,390892300
2016-09-01,35.990002,38.049999,35.060001,37.750000,31.338287,505600300
2016-10-01,37.689999,38.360001,34.709999,34.869999,28.947449,471649900
2016-11-01,34.900002,35.660000,33.419998,34.700001,28.806328,412448100
2016-12-01,34.860001,37.349998,33.560001,36.270000,30.337631,405906200
2017-01-01,36.610001,38.450001,36.189999,36.820000,30.797688,456335100
2017-02-01,36.820000,36.950001,34.840000,36.200001,30.279091,477551300
2017-03-01,35.849998,36.299999,34.660000,36.070000,30.385735,546151800
2017-04-01,36.189999,37.500000,35.209999,36.150002,30.453129,444122200
2017-05-01,36.110001,37.169998,35.020000,36.110001,30.419428,432927300
2017-06-01,36.119999,36.570000,33.340000,33.740002,28.634369,499455600
2017-07-01,33.509998,35.860001,33.230000,35.470001,30.102579,440860400
2017-08-01,35.660000,36.700001,34.380001,35.070000,29.763107,497303200
2017-09-01,35.240002,38.150002,34.930000,38.080002,32.560230,431948900
2017-10-01,38.119999,45.799999,38.080002,45.490002,38.896126,633392500
2017-11-01,45.970001,47.299999,43.770000,44.840000,38.340355,579910400
2017-12-01,44.730000,47.639999,42.669998,46.160000,39.702919,559756900
2018-01-01,46.380001,50.849998,42.439999,48.139999,41.405941,910041000
2018-02-01,47.700001,50.900002,42.040001,49.290001,42.395077,608494100
2018-03-01,49.500000,53.779999,46.959999,52.080002,45.098698,710899300
2018-04-01,51.689999,55.790001,47.290001,51.619999,44.700359,666315000
2018-05-01,51.639999,56.200001,51.000000,55.200001,47.800465,486323900
2018-06-01,55.840000,57.599998,48.500000,49.709999,43.294838,638342400
2018-07-01,49.040001,53.299999,46.430000,48.099998,41.892605,479303100
2018-08-01,48.060001,50.599998,46.189999,48.430000,42.180016,516977100
2018-09-01,48.380001,48.430000,44.060001,47.290001,41.437618,462762400
2018-10-01,46.790001,49.720001,42.360001,46.880001,41.078354,782226900
2018-11-01,46.950001,49.320000,46.520000,49.310001,43.207634,552786700
2018-12-01,50.000000,50.500000,43.509998,46.930000,41.380966,565278100
2019-01-01,45.959999,50.040001,44.389999,47.119999,41.548492,620374700
2019-02-01,47.060001,53.610001,47.009998,52.959999,46.697971,410236000
2019-03-01,53.439999,54.990002,51.700001,53.700001,47.650604,435022900
2019-04-01,54.340000,59.590000,50.869999,51.040001,45.290260,472425200
2019-05-01,51.099998,51.820000,42.860001,44.040001,39.078819,637861500
2019-06-01,44.250000,48.480000,43.200001,47.869999,42.737503,416046000
2019-07-01,49.290001,53.500000,47.070000,50.549999,45.130161,431034400
2019-08-01,50.520000,51.889999,44.799999,47.410000,42.326828,531370100
2019-09-01,47.119999,53.330002,46.500000,51.529999,46.315701,387955800
2019-10-01,51.970001,57.240002,48.529999,56.529999,50.809757,438267300
2019-11-01,55.939999,59.130001,55.619999,58.049999,52.175953,319751400
2019-12-01,58.549999,60.480000,55.750000,59.849998,54.089870,419629000
2020-01-01,60.240002,69.290001,58.520000,63.930000,57.777203,534150100
2020-02-01,64.459999,68.089996,53.599998,55.520000,50.176601,441506700
2020-03-01,55.790001,59.020000,43.630001,54.119999,49.152210,961035400
2020-04-01,52.500000,62.130001,51.220001,59.980000,54.474304,617557900
2020-05-01,58.830002,64.139999,56.099998,62.930000,57.153522,409253500
2020-06-01,62.490002,65.110001,56.759998,59.830002,54.645023,570572500
2020-07-01,59.910000,61.930000,46.970001,47.730000,43.593632,808654500
2020-08-01,48.270000,51.500000,47.700001,50.950001,46.534584,667321500
2020-09-01,50.910000,52.680000,48.419998,51.779999,47.613838,680429800
2020-10-01,52.400002,56.230000,43.610001,44.279999,40.717281,738437500
2020-11-01,44.959999,48.500000,44.240002,48.349998,44.459812,676942800
2020-12-01,48.750000,52.650002,45.240002,49.820000,46.144756,883810300
2021-01-01,49.889999,63.950001,49.330002,55.509998,51.414993,962555600
2021-02-01,55.950001,63.540001,55.709999,60.779999,56.296223,511339300
2021-03-01,61.720001,67.440002,57.910000,64.000000,59.638500,770803800
2021-04-01,64.720001,68.489998,57.070000,57.529999,53.609417,654934800
2021-05-01,57.860001,58.009998,53.419998,57.119999,53.227364,495384200
2021-06-01,57.610001,58.419998,55.099998,56.139999,52.636356,511873100
2021-07-01,56.130001,57.459999,52.310001,53.720001,50.367390,516953700
2021-08-01,53.990002,54.869999,51.419998,54.060001,50.686161,402375000
2021-09-01,54.110001,55.490002,52.320000,53.279999,50.279465,413346700
2021-10-01,53.650002,56.070000,47.869999,49.000000,46.240498,672042200
2021-11-01,49.400002,51.990002,48.119999,49.200001,46.429237,617076700
2021-12-01,49.840000,55.000000,48.330002,51.500000,48.937679,714651800
2022-01-01,51.650002,56.279999,46.299999,48.820000,46.391018,890542800
2022-02-01,48.779999,49.970001,43.630001,47.700001,45.326748,756814900
2022-03-01,47.540001,52.509998,44.070000,49.560001,47.452953,849288700
2022-04-01,49.830002,49.900002,43.500000,43.590000,41.736767,639472500
